city,state,state_full_name,lat,lng,id
South Creek,WA,Washington,46.9994,-122.3921,1840042075
Roslyn,WA,Washington,47.2507,-121.0989,1840019842
Sprague,WA,Washington,47.3048,-117.9713,1840021107
Gig Harbor,WA,Washington,47.3352,-122.5968,1840019855
Lake Cassidy,WA,Washington,48.0639,-122.092,1840041959
Tenino,WA,Washington,46.8537,-122.8607,1840021144
Jamestown,WA,Washington,48.1229,-123.0911,1840037668
Three Lakes,WA,Washington,47.942,-121.9924,1840018375
Curlew Lake,WA,Washington,48.7311,-118.6663,1840043278
Chain Lake,WA,Washington,47.9038,-121.9861,1840041915
Pateros,WA,Washington,48.0536,-119.8994,1840019763
Rosburg,WA,Washington,46.3076,-123.6344,1840023878
Parkland,WA,Washington,47.1417,-122.4376,1840018453
Birch Bay,WA,Washington,48.923,-122.7543,1840017289
Ashford,WA,Washington,46.7537,-122.0113,1840017363
Navy Yard City,WA,Washington,47.5508,-122.6655,1840018407
Omak,WA,Washington,48.4228,-119.5159,1840019761
Farmington,WA,Washington,47.0887,-117.0464,1840021140
Buckley,WA,Washington,47.1615,-122.02,1840018455
Cathcart,WA,Washington,47.8525,-122.1058,1840017324
Poulsbo,WA,Washington,47.7417,-122.6408,1840019822
Anacortes,WA,Washington,48.4878,-122.6292,1840018366
Maplewood,WA,Washington,47.3715,-122.5689,1840037569
Creston,WA,Washington,47.7595,-118.52,1840021109
Rockford,WA,Washington,47.4513,-117.1307,1840021095
Wishram,WA,Washington,45.6599,-120.9698,1840018528
Centralia,WA,Washington,46.7225,-122.9695,1840018471
South Hill,WA,Washington,47.1203,-122.2848,1840037886
Longview Heights,WA,Washington,46.1796,-122.9577,1840037874
Erlands Point-Kitsap Lake,WA,Washington,47.5973,-122.7021,1840073915
Amboy,WA,Washington,45.9122,-122.4795,1840017396
St. John,WA,Washington,47.0915,-117.5887,1840021139
Dallesport,WA,Washington,45.6316,-121.1749,1840018525
Ketron Island,WA,Washington,47.1569,-122.6343,1840037558
Mesa,WA,Washington,46.5737,-119.0013,1840019887
Fife,WA,Washington,47.2328,-122.3518,1840019853
Moses Lake North,WA,Washington,47.1949,-119.3186,1840074436
Chewelah,WA,Washington,48.2929,-117.7336,1840018360
Grayland,WA,Washington,46.8304,-124.0898,1840017360
Kittitas,WA,Washington,46.9837,-120.4191,1840019843
Camano,WA,Washington,48.1865,-122.4708,1840037492
Monroe North,WA,Washington,47.883,-121.9882,1840042006
North Bonneville,WA,Washington,45.6425,-121.9689,1840019903
Klickitat,WA,Washington,45.818,-121.1626,1840017404
Loon Lake,WA,Washington,48.0685,-117.6298,1840023998
Newport,WA,Washington,48.1788,-117.0545,1840019765
Mead,WA,Washington,47.7795,-117.35,1840023786
Cashmere,WA,Washington,47.5175,-120.4671,1840018368
Aberdeen Gardens,WA,Washington,47.0587,-123.7791,1840037845
Ocean Shores,WA,Washington,46.9685,-124.1521,1840019849
Basin City,WA,Washington,46.5891,-119.1567,1840017379
Wilkeson,WA,Washington,47.1034,-122.0495,1840022310
Meadow Glade,WA,Washington,45.7524,-122.5614,1840018517
Arlington Heights,WA,Washington,48.2119,-122.063,1840037743
Uniontown,WA,Washington,46.5391,-117.0861,1840022316
Oakesdale,WA,Washington,47.1305,-117.2465,1840022314
West Side Highway,WA,Washington,46.1841,-122.9178,1840037246
Conconully,WA,Washington,48.5571,-119.7513,1840022269
Latah,WA,Washington,47.2822,-117.1557,1840021097
Elma,WA,Washington,47.0055,-123.4112,1840019844
Tieton,WA,Washington,46.7026,-120.756,1840022319
Southworth,WA,Washington,47.5126,-122.5298,1840023800
Danville,WA,Washington,48.9938,-118.5068,1840037761
Toppenish,WA,Washington,46.3807,-120.3125,1840021151
River Road,WA,Washington,48.0677,-123.1276,1840037861
Geneva,WA,Washington,48.7461,-122.4064,1840017291
Yakima,WA,Washington,46.5923,-120.5496,1840021154
Moxee,WA,Washington,46.5638,-120.3968,1840037381
Edmonds,WA,Washington,47.8114,-122.3533,1840037645
Kalama,WA,Washington,46.0171,-122.8393,1840018502
Laurier,WA,Washington,48.9974,-118.2248,1840026092
Vashon,WA,Washington,47.4122,-122.4726,1840018414
Country Homes,WA,Washington,47.7478,-117.4197,1840017334
Darrington,WA,Washington,48.2546,-121.6029,1840021081
Metaline Falls,WA,Washington,48.8616,-117.3706,1840022277
Lyle,WA,Washington,45.6956,-121.2805,1840017402
Cascade Valley,WA,Washington,47.1371,-119.3272,1840037865
Spangle,WA,Washington,47.4299,-117.3812,1840022290
Methow,WA,Washington,48.1289,-120.0056,1840025237
Waterville,WA,Washington,47.648,-120.0707,1840022287
Lake Roesiger,WA,Washington,47.9839,-121.9129,1840037853
Milton,WA,Washington,47.2522,-122.3154,1840019857
Krupp,WA,Washington,47.4105,-118.9886,1840074934
Alderton,WA,Washington,47.1718,-122.2192,1840037523
DuPont,WA,Washington,47.1079,-122.6496,1840018457
Edgewood,WA,Washington,47.2309,-122.2832,1840019852
North Puyallup,WA,Washington,47.2015,-122.2742,1840037690
Pacific Beach,WA,Washington,47.215,-124.1967,1840023817
Manson,WA,Washington,47.8858,-120.1563,1840025246
Brewster,WA,Washington,48.1034,-119.7751,1840018359
Battle Ground,WA,Washington,45.7764,-122.5413,1840018523
Shoreline,WA,Washington,47.7564,-122.3426,1840021118
Cosmopolis,WA,Washington,46.9541,-123.7725,1840018448
Airway Heights,WA,Washington,47.6459,-117.5792,1840018399
Grandview,WA,Washington,46.2431,-119.9084,1840019871
Inchelium,WA,Washington,48.3378,-118.2372,1840017307
Grand Coulee,WA,Washington,47.9391,-119.0031,1840019815
Union,WA,Washington,47.3475,-123.0952,1840025253
Torboy,WA,Washington,48.6772,-118.6689,1840026090
Kelso,WA,Washington,46.1248,-122.8909,1840018503
Westport,WA,Washington,46.8919,-124.112,1840021124
Junction City,WA,Washington,46.9713,-123.7651,1840017362
Lake Ketchum,WA,Washington,48.282,-122.348,1840037852
West Pasco,WA,Washington,46.2497,-119.1684,1840037891
Des Moines,WA,Washington,47.3914,-122.3154,1840018426
